Category,Question,Answer
 plant protection & nourishment,attack of mava insects?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",attack of blight on onion ?,blight control-spray m-45 30 gm /15 liter water.(mancozeb) indofil
"	plant protection & nourishment	",farmer asked about market rate of onion  ?,chala keral market rate of  onion=  18001854rs/qtl
"	plant protection & nourishment	",attack of leaf miner on tomato?,spray politrin-c 30 ml/15 liter water (profesofos 40%+cypermethrin 4%) syngenta
"	plant protection & nourishment	",asking about controll of blight attack on onion ?,spray actra 5 gm +spray bavistine 30gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",asked about attack of wilt on brinjal ?,drenching drainching of blue copper 40 gm + /15 liter water
"	plant protection & nourishment	",asking about the caterpillar attack on cabbage ?,the caterpillar attack on cabbage-spray chloropyriphos 30 ml/15 lit of water.
"	plant protection & nourishment	",asking about attack of sucking pest on tomato  ?,attack of sucking pest on tomato - spray ullala 8 gm/15 lit of water.(flonicamid)-upl
"	plant protection & nourishment	",asked about attack of blight on onion ?,spray m-45 30 gm /15 liter water.(mancozeb) indofil
"	plant protection & nourishment	",asking about  attack of red mites ?,spray omite 5ml/15 liter of water(propynyl ester)-nufarm
"	plant protection & nourishment	",asked about red mites on brinjal ?,spray omite 5ml/15 liter water .(propargite 57% ec)
"	plant protection & nourishment	",asked about national research centre for grapes contact number?,"national research centre for grapes , manjiri farm -pune - 020 2695 6000"
"	plant protection & nourishment	",asking about attack of white fly on cauliflower  ?,attack of white fly on cauliflower   - spray marker 30 ml /15 liters of water
"	plant protection & nourishment	",attack of sucking pest ?,spray admire 5 gm /15 liter water bayer crop science
"	plant protection & nourishment	",farmer asked about attack of sucking pest on onion?,attack of sucking pest on onion-spray of bio-303 15ml/15 liter water.
"	plant protection & nourishment	",fungal attack ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
"	plant protection & nourishment	",attack of leaf eating caterpillar ?,spray quinolphos 30 ml / 15 liter water
"	plant protection & nourishment	",asking about grape research station ?,"national research centre for grapes , manjiri farm -pune - 020 2695 6000"
"	plant protection & nourishment	",asked about fertilizer dose for onion ?,spray 00 52 34 60 gm /15 lit of water.
"	plant protection & nourishment	","asked about   national research centre for grapes , manjiri farm -pune - cotact no?","national research centre for grapes , manjiri farm -pune - 020 2695 6000"
"	plant protection & nourishment	",farmer asked about weed management in onion ?,weed management in onion :- spray goal 20 ml (oxyfluorfen)/15 liter of water
"	plant protection & nourishment	",farmer asked about attack of aphids on onion?,attack of aphids on onion-spray of bio-303 15ml/15 liter water.
"	plant protection & nourishment	",fungal attack on onion ?,fungal attack on onion -spray bavistine 30gm/15lit of water.
"	plant protection & nourishment	",preparation of jivamrut?,preparation of jivamrut-for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
"	plant protection & nourishment	",attack of white fly  on cauliflower ?,attack of white fly  on cauliflower - spray pegasus 25 gm/ 15 lit of water (diafenthiuron)  syngenta
"	plant protection & nourishment	",asking about attack of downy ?,spray antracol  30  gm/15 liter of water(propineb)-bayer
"	plant protection & nourishment	",blight attack ?,spray cabriotop 40 gm/15 liter of water-metiram (dithiocarbamate) basf
"	plant protection & nourishment	",weed management in onion ?,spray goal(oxyfluorfen 23.5% ec) 20 ml / 15 liters of water 21 days after transplanting (crop life science ltd)
"	plant protection & nourishment	",attack of thrips?,spray (emamectin benzoate 5% sg 5gm/15lit of water.
"	plant protection & nourishment	",asked about attack of aphids ?,attack of aphids = bio 303 - 22 ml / 15 liters of water daman
"	plant protection & nourishment	",flower drop?,spray of plano fix 5ml/15 lit of water.(naa)
"	plant protection & nourishment	",farmer asked about attack of caterpillar on gram ?,control caterpiler attack on gram spray profenophos 20 ml/15 liter of water.
"	plant protection & nourishment	",asked about wilt attack on brinjal ?,spray blue copper -30 gm/15 lit water.(copper oxychloride 50% wp)   syngenta
"	plant protection & nourishment	",attack of sugarcane wooly aphids ?,spray rijent 20 ml/15 liter water.bayer crop science
"	plant protection & nourishment	",attack of sugarcane wooly aphids ?,spray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
"	plant protection & nourishment	",farmer ask about attack of sucking pest on wheat?,sucking pest on wheat-spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",farmer asked about drenching for brinjal ?,drenching for brinjal-humic-15 gram in 15 litres of water.
"	plant protection & nourishment	",asked about cut worm in  sorghum ?,cut worm in  sorghum - application of thimet 7 kilo / ekar
"	plant protection & nourishment	",asked about attack of blight on onion ?,spray ridomil gold 30 gm / 15 liters of water. syngenta
"	plant protection & nourishment	",attack of gram pod borer ?,spray tracer 3.5 ml / 15 lit of water -(spinosad 45 sc ) dow agro science
"	plant protection & nourishment	",weed management in onion ?,spray goal 20 ml / 15 liters of water 21 days after transplanting
"	plant protection & nourishment	",attack of jassids/leaf hoppers,spray rijent 20 ml/15 liter water.bayer crop science
"	plant protection & nourishment	",fungal attack ?,spray bavistine 30gm/15lit of water.
"	plant protection & nourishment	",fertilizer application for growth through drip ?,application 12 61 00 2 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
"	plant protection & nourishment	",blight attack on onion  ?,spray m-45 30 gm /15 liter water.(mancozeb) indofil
"	plant protection & nourishment	",blight attack ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
"	plant protection & nourishment	",asked about attack wilt in brinjal,draining of blue copper 30 gm + humic acid 30 ml/15 liter water
"	plant protection & nourishment	",asking about weed management in bajra  ?,"weed management in bajra  - spray 2,4-d 40 gm / 15 liters of water 30-35 days after sowing"
"	plant protection & nourishment	",asked about attack of sucking pest on pomegranate ?,spray pride 7 gm / 15 liters of water (acetamiprid 20 %)
"	plant protection & nourishment	",fertilizer spray on pomegranate?,spray 00 52 34 60 gm /15 lit of water.
"	plant protection & nourishment	",farmer asking about increase size of onion ?,spray 00 52 34 60 gm/15 litre water
"	plant protection & nourishment	",fertilizer spray for growth onion ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
"	plant protection & nourishment	",fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
"	plant protection & nourishment	",farmer ask about attack of sucking pest on tomato?,sucking pest on tomato-spray alika 8 ml+saaf 30 gm  / 15 lit of water  (thiamethoxam (12.6%) + lambdacyhalothrin (9.5%) zc )syngenta
"	plant protection & nourishment	",asked about weed management in wheat ?,spray allgrip (metsulfuron methyl 20% wg)8 gm /acre 25-35 days after sowing
"	plant protection & nourishment	",asked about flower drop in mango?,flower drop in mango? = bio 303 - 22 ml / 15 liters of water daman
"	plant protection & nourishment	",powdery mildew  on leafy vegetable ?,spray cabriotop 30 gm/15 liter of water-metiram (pyraclostrobin 50% + metiram 55%)basf
"	plant protection & nourishment	",cluster bean planting?,cluster bean planting - third week of january.
"	plant protection & nourishment	",fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
"	plant protection & nourishment	",attack of sucking pest ?,spray confidor 10 ml /super confidor 10 ml /15 litar water (imidacloprid 17.8 %) .
"	plant protection & nourishment	",asked about spraying for growth on bottle gourd?,spray 19:19:19 60 gm  + magnesiam sulphet 60 gm/15 liter water
"	plant protection & nourishment	",attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
"	plant protection & nourishment	",asking about the sucking pest attack on onion ?,the sucking pest attack on onion -spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
government schemes,farmer asked about iffco tokio general  insurance toll free number ?,the toll-free number of iffco tokio is: 1-800-103-5499.
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,farmer asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer.
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
government schemes,asking about  loan ?,for more detail about  loan please visit your nearer nationalized bank
government schemes,farmer asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about contact no of fishery department?,"department of fisheriesaddress:commissioner of fisheries,taraporwala aquarium,netaji subhash road,charni road, mumbai-400002(maharashtra state, india)phone: 022-????????"
government schemes,asked about department of fisheries,"commissioner, fisheries, taraporewala aquarium,netaji subhash road, churniroad, mumbai-400002,telephone: 022-22821239"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,told about soil health card,"krishi vigyan kendra yashwantrao chavan maharashtra open university, dnyangangotri, near gangapur dam, nashik - 422 222; +91 -253-2230698,2230459"
government schemes,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer office.
government schemes,asked  about  loan ?,for more detail about  loan please visit your nearer nationalized bank
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,farmer asked about contact number of national research centre for grapes ?,"national research centre for grapes , manjiri farm -pune - 020 2695 6000"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking about subsidy on agricultural equipments ?,25-50 %subsidy on agricultural equipment more detail please visit your tahasil agriculture officer.
government schemes,asking contact number of animal husbandary department?,the toll free number of  animal husbandary department is 1800 233 3268 .for any details about animal related schemes please contact on that number.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about seed treatment for  ghevda  ?,seeds treated with rhizobium
government schemes,asking about contact number of soil testing lab ?,contact number of soil testing lab    0253-2592958
government schemes,ashed about contact no of mpkv ?,"mahatma phule krishi vidyapeeth-rahuri,ahmednagar - 02426 243373"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about contact number of nrc grapes?,"national research centre for grapes , manjiri farm -pune - 020 2695 6000"
government schemes,asking about the toll free number of agriculture department ?,the toll free number of agriculture department-1800 2334000
government schemes,asked about sms activation?,to start sms service please type sms kisaan1 and send it to 7738299899
government schemes,asking contact no of animal husbandary department ?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about contact number for pradhan mantri crop insurance scheme ?,contact number for pradhanmantri crop insurance scheme -1800 2660 700 call on this number before 48 hours
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked baout nashik kvk contact no?,"krishi vigyan kendra nashikcategory: govt. kvk spotscontact name: krishi vigyan kendra nashik,mobile no.:: 0253-2230698address: krishi vigyan kendra, yashwantrao chavan maharashtra open university, dnyanagangotri, near gangapur dam, nashikstate: maharashtradistrict: nashiktime of visit: all the year"
government schemes,asking about contact number of nrc grapes ?,directordr. s.d. sawantphone: 91-20-26956001
government schemes,asked about sms activation?,your registration process successfully completed.for kisan msg-type''kisaan1'' msg  and send on (7738299899) this number.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about sms activation ?,your sms registration process successfully completed.
government schemes,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking contact no of animal husbandary department ?,contact no of animal husbandary department = 1800 233 3268 contact no of animal husbandary department = 1800 233 0418
government schemes,"asking about krishi vigyan kendra ,nashik  contact no ?","krishi vigyan kendra , nashik - contact no  0253-2230698,2230459"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about contact number for pradhanmantri crop insurance scheme?,contact number for pradhanmantri crop insurance scheme -1800 2660 700 call on this number.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about pradhanmantri  crop insurance scheme ?,contact number for pradhanmantri crop insurance scheme -1800 2660 700 call on this number before 48 hours
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about subsidy on agricultural equipments ?,25-50 %subsidy on agricultural equipment more detail please visit your tahasil agriculture officer.
government schemes,asking about subsidy on agricultural equipments ?,25-50 %subsidy on agricultural equipment more detail please visit your tahasil agriculture officer.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer.
government schemes,asking about the annasaheb patil financial backward development program ?,"the applicant should be a resident of maharashtra state, he should be 18 to 45 years, the name of the applicant should be registered in the district skill development and employment guidance center, the annual income of the applicant's family should be within six lakh rupees, the applicant's family should not be the outstanding of any bank, permanent residence in the district. it should be 3 years."
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
market information,farmer asked about market rate of onion?,average  market rate of onion 600  - / quintal
market information,asked about market rate of onion ?,"07/01/2019 lasalgaon market rate of onion -  minimum- 350   , maximum- 851  , average- 680  rs/qtl"
market information,farmer asked about market rate of  onion?,"market rate of onion =350,851,680  rs/qtl"
market information,farmer asked about market rate of tur?,amalner market rate of tur-4900-5200 rs./qtl.
market information,farmer asked about market rate of  onion of lasalgaon ?,market rate of onion of lasalgaon  -140-286 rs/qtl
market information,asked about market rate of onion ?,market rate of onion - average-  lasalgaon-350-851   rs/qt
market information,farmer asked about market rate of onion of chandrapur market ?,"market rate of onion  of chandrapur market - min. - 900 rs/qtl , max- 1300 rs/qtl , average - 1100 rs/qtl"
