Category,Question,Answer
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
"	plant protection	",asked about attack of red mite on beans?,spray oberon 15 ml / 15lit of water.(spiromesifen) bayer crop science
"	plant protection	",blight attack ?,spray cabriotop 30 gm/15 liter of water-metiram (pyraclostrobin 50% + metiram 55%)basf
weather,asking about weather forecast?,"weather forecasts - the weather will remain cloudy in the coming weeks, there is no chance of rain"
"	plant protection	",asked about stem borer attack on maize crop ?,spray nuvan 15 ml/ 15lit of water(diclorvos 76%)cheminova
weather,asking about  loan ?,for more detail about  loan please visit your nearer nationalized bank .
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-14 degree and max.- 30
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
"	plant protection	",asked about sucking pst attack on tomato ?,sucking pst attack on tomato  - spray actra 5 gm/15 liter of water(thiomithoxom 25%)-
market information,farmer asked about market rate of onion  ?,market rate of onion -    1001375    rs/qtl
fertilizer use and availability,varieties of brinjal ?,varieties of brinjal -manjari gota vaishali pragati aruna krushna arjun gaurav meghana lalita ajay
seeds and planting material,asking about varieties of brinjal ?,varieties of brinjal -manjari gota vaishali pragati aruna krushna arjun gaurav meghana lalita ajay
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
market information,onion market,2001100800
"	plant protection	",asking about control of blight attack ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
bio-pesticides and bio-fertilizers,preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
"	plant protection	",asking about spray for controlling flower drop on drum stick?,controlling flower drop on drum stick-spray plano fix 5ml/15 lit of water. (naa) bayer
seeds and planting material,sowing time of french beam ?,"sowing time of french beam :-planting should be done in the months of june, july and january, february."
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,fertilizer spray on  cowpea?,fertilizer spray on  cowpea- spray 00 52 34 60 gm /15 lit of water.
fertilizer use and availability,fertilizer spray on  cowpea?,fertilizer spray on  cowpea- spray 00 52 34 60 gm /15 lit of water.
market information,farmer asked about market rate of onion ?,pune market rate of onion  - 200-1100 rs/qtl
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weed management,asking about weed management in wheat ?,spray allgrip (metsulfuron methyl 20% wg)8 gm /acre 25-35 days after sowing (dupont india)
weed management,weed management in bengal gram ?,spray pendimethylin 1-1.5 kg a.i/ha in 800-1000 lit of water
fertilizer use and availability,farmer want to know information about increasing flowering?,spray boom flower 20 ml(devicropscience)/15 liter of water.
fertilizer use and availability,asking about the fertilizer for tomato ?,the fertilizer for tomato- 00:52:34 -60 gram /15 litre of water
fertilizer use and availability,fertilizer spray for growth ?,spray 00 52 34 60 gm /15 lit of water.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about sms activation?,your sms registration process successfully completed.
cultural practices,"asked   contact number of  national research centre for grapes , manjiri farm -pune  ?","national research centre for grapes , manjiri farm -pune - 020 2695 6000"
