word,value

about,1

asking,2

of,3

weather,4

forecast,5

asked,6

onion,7

farmer,8

market,9

rate,10

attack,11

on,12

for,13

fertilizer,14

scheme,15

spray,16

government,17

in,18

varieties,19

aphids,20

growth,21

pomegranate,22

brinjal,23

sucking,24

pest,25

contact,26

dose,27

fertdose,28

blight,29

tomato,30

management,31

wheat,32

number,33

weed,34

fungal,35

no,36

flower,37

drop,38

department,39

gram,40

mango,41

tahsil,42

sugarcane,43

gourd,44

caterpillar,45

white,46

fly,47

animal,48

nashik,49

leaf,50

wilt,51

grapes,52

ask,53

husbandary,54

crop,55

control,56

fruit,57

the,58

research,59

thrips,60

sms,61

activation,62

maize,63

cracking,64

fertiliser,65

flowering,66

block,67

niphad,68

borer,69

bean,70

nasik,71

cotton,72

nutrient,73

papaya,74

national,75

centre,76

cauliflower,77

grape,78

application,79

spraying,80

insurance,81

lasalgaon,82

bengal,83

groundnut,84

drum,85

stick,86

pomogranate,87

chilli,88

miner,89

controll,90

eating,91

pune,92

sorghum,93

size,94

bottle,95

subsidy,96

agricultural,97

equipments,98

soybean,99

increasing,100

coriander,101

sponge,102

drumstick,103

red,104

mites,105

station,106

manjiri,107

farm,108

preparation,109

jivamrut,110

wooly,111

pod,112

through,113

drip,114

increase,115

powdery,116

mildew,117

leafy,118

vegetable,119

cluster,120

toll,121

free,122

loan,123

soil,124

treatment,125

nrc,126

kvk,127

pradhanmantri,128

tur,129

soyabean,130

information,131

french,132

onions,133

pomegranatemarket,134

yeola,135

ratoon,136

guava,137

cultivation,138

bhendi,139

shoot,140

bitter,141

veriety,142

nandgaon,143

mava,144

insects,145

cabbage,146

cotact,147

downy,148

drenching,149

cut,150

worm,151

jassids,152

hoppers,153

bajra,154

planting,155

iffco,156

tokio,157

general,158

fishery,159

fisheries,160

told,161

health,162

card,163

seed,164

ghevda,165

testing,166

lab,167

ashed,168

mpkv,169

agriculture,170

pradhan,171

mantri,172

baout,173

krishi,174

vigyan,175

kendra,176

annasaheb,177

patil,178

financial,179

backward,180

development,181

program,182

chandrapur,183

pigeon,184

pea,185

mandi,186

details,187

300812760,188

karad,189

lasalgao,190

pomogranet,191

ofgrape,192

manjari,193

kadaknath,194

poultry,195

company,196

husbandry,197

chapan,198

kaddu,199

bahar,200

inflorescence,201

protection,202

cucumber,203

regarding,204

sandalwood,205

drops,206

almond,207

bulb,208

rose,209

pomemranate,210

gummosis,211

orange,212

ataack,213

doses,214

askingh,215

spongegourd,216

yellowing,217

jasmine,218

scale,219

inscect,220

want,221

to,222

know,223

fruits,224

fodder,225

girdle,226

beetle,227

stem,228

weedicide,229

effect,230

catterpiler,231

rats,232

catterpilar,233

beans,234

amister,235

fungicide,236

aout,237

aphid,238

rat,239

field,240

tree,241

pumpkin,242

termites,243

chill,244

variety,245

ginger,246

capsicum,247

okra,248

fenugreek,249

custard,250

apple,251

ridge,252

nandura,253

temperature,254

chandvad,255

askingabout,256

