word,value

of,1

<eos>,2

<sos>,3

weather,4

week,5

and,6

this,7

is,8

-,9

spray,10

rainfall,11

water,12

no,13

cloudy,14

possibility,15

the,16

market,17

in,18

rate,19

gm,20

30,21

liter,22

for,23

onion,24

clear,25

ml,26

/15,27

/,28

chances,29

mostly,30

19,31

15,32

kg,33

please,34

liters,35

your,36

agriculture,37

rs/qtl,38

visit,39

officer,40

will,41

detail,42

be,43

there,44

information,45

about,46

scheme,47

government,48

forecast,49

partly,50

taluka,51

degree,52

lit,53

gm/15,54

on,55

during,56

60,57

coming,58

max-,59

rain,60

5,61

microlla,62

varieties,63

"atmosphere,",64

lighter,65

00,66

to,67

actra,68

water(thiomithoxom,69

",",70

temp,71

light,72

29,73

25%)-syngenta,74

40,75

52,76

-min-16,77

ml/15,78

34,79

10,80

rs,81

attack,82

50,83

pomegranate,84

20,85

acre,86

a,87

p,88

1,89

weektemp,90

apply,91

maximum,92

fertilizer,93

2,94

crop,95

),96

days,97

fertdose,98

application,99

d,100

number,101

contact,102

phule,103

"minimum-250,maximum-,",104

7500,105

average-3000rupees/qtl,106

minimum,107

chance,108

sulphur,109

price),110

rupees/qtl,111

syngenta,112

science,113

gram,114

partially,115

meteorological,116

4,117

acid,118

flower,119

confidor,120

department,121

average,122

onion(modal,123

brinjal,124

tahsil,125

m-45,126

pest,127

8,128

humic,129

animal,130

arka,131

remain,132

temperature,133

litre,134

sms,135

district,136

dose,137

growth,138

as,139

pusa,140

according,141

water(mancozeb),142

indofil,143

sucking,144

12,145

husbandary,146

1800,147

233,148

should,149

500,150

per,151

100,152

week-,153

co-,154

degrees,155

"clear,",156

5ml/15,157

research,158

centre,159

grapes,160

farm,161

aphids,162

after,163

plano,164

fix,165

gold,166

45,167

%),168

it,169

nashik,170

lasalgaon,171

average-,172

/qtl,173

/quintal,174

urea,175

boom,176

bag,177

"cloudy,",178

forecasts,179

"weeks,",180

bavistine,181

national,182

manjiri,183

